Date,Open,High,Low,Close,Adj Close,Volume,7. dividend amount,8. split coefficient,Ticker
2022-02-17,443.22,446.5652,436.42,437.06,415.732838827633,102259108,0.0000,1.0,SPY
2022-02-18,437.33,438.66,431.82,434.23,413.04093397731,132642896,0.0000,1.0,SPY
2022-02-22,431.89,435.5,425.86,429.57,408.608327403986,122145129,0.0000,1.0,SPY
2022-02-23,432.66,433.26,421.35,421.95,401.360159573788,132578005,0.0000,1.0,SPY
2022-02-24,411.02,428.76,410.64,428.3,407.400299432287,213942946,0.0000,1.0,SPY
2022-02-25,429.61,437.84,427.86,437.75,416.389168985486,121804459,0.0000,1.0,SPY
2022-02-28,432.03,438.2,430.7,436.63,415.323821482884,145615029,0.0000,1.0,SPY
2022-03-01,435.04,437.17,427.11,429.98,408.998320686189,137785908,0.0000,1.0,SPY
2022-03-02,432.37,439.72,431.57,437.89,416.522337423311,117726525,0.0000,1.0,SPY
2022-03-03,440.47,441.11,433.8,435.71,414.448714605747,105501715,0.0000,1.0,SPY
2022-03-04,431.75,433.37,427.88,432.17,411.081455535025,114083256,0.0000,1.0,SPY
2022-03-07,431.55,432.3018,419.36,419.43,398.963127692935,137896560,0.0000,1.0,SPY
2022-03-08,419.62,427.21,415.12,416.25,395.938301748049,164772744,0.0000,1.0,SPY
2022-03-09,425.14,429.51,422.82,427.41,406.55372864897,116990765,0.0000,1.0,SPY
2022-03-10,422.52,426.43,420.44,425.48,404.717906613237,93972655,0.0000,1.0,SPY
2022-03-11,428.12,428.77,419.53,420.07,399.571897694421,95636277,0.0000,1.0,SPY
2022-03-14,420.89,424.55,415.79,417.0,396.651704093541,95729188,0.0000,1.0,SPY
2022-03-15,419.77,426.84,418.42,426.17,405.374236771089,106219117,0.0000,1.0,SPY
2022-03-16,429.89,435.68,424.8,435.62,414.363106324288,144954805,0.0000,1.0,SPY
2022-03-17,433.59,441.07,433.19,441.07,419.547163368197,102676870,0.0000,1.0,SPY
2022-03-18,438.0,444.86,437.22,444.52,424.128166190211,102665985,1.3660,1.0,SPY
2022-03-21,444.34,446.46,440.68,444.39,424.004129787788,87350111,0.0000,1.0,SPY
2022-03-22,445.86,450.58,445.86,449.59,428.965585884677,73464881,0.0000,1.0,SPY
2022-03-23,446.91,448.49,443.71,443.8,423.441195346026,79426098,0.0000,1.0,SPY
2022-03-24,445.94,450.5,444.76,450.49,429.824299439908,64736892,0.0000,1.0,SPY
2022-03-25,451.16,452.98,448.43,452.69,431.923377019361,76123606,0.0000,1.0,SPY
2022-03-28,452.06,455.91,450.06,455.91,434.995663294743,68529767,0.0000,1.0,SPY
2022-03-29,460.02,462.07,457.18,461.55,440.376934907522,86581542,0.0000,1.0,SPY
2022-03-30,460.34,461.195,456.465,458.7,437.657675315958,79666942,0.0000,1.0,SPY
2022-03-31,457.89,458.76,451.16,451.64,430.921544538259,121699948,0.0000,1.0,SPY
2022-04-01,453.31,453.46,449.14,452.92,432.142826039031,89048773,0.0000,1.0,SPY
2022-04-04,453.13,456.91,452.26,456.8,435.844835588249,59601000,0.0000,1.0,SPY
2022-04-05,455.22,457.83,449.82,451.03,430.339527573047,72741037,0.0000,1.0,SPY
2022-04-06,446.89,448.93,443.47,446.52,426.036418535168,106897970,0.0000,1.0,SPY
2022-04-07,445.59,450.69,443.53,448.77,428.183202423245,78097214,0.0000,1.0,SPY
2022-04-08,447.97,450.63,445.94,447.57,427.038251016271,79272711,0.0000,1.0,SPY
2022-04-11,444.11,445.0,439.39,439.92,419.739185796809,89770538,0.0000,1.0,SPY
2022-04-12,443.08,445.75,436.6501,438.29,418.183960135669,84363635,0.0000,1.0,SPY
2022-04-13,438.03,444.11,437.84,443.31,422.973673521512,74070394,0.0000,1.0,SPY
2022-04-14,443.55,444.7301,437.68,437.79,417.706897049429,97869451,0.0000,1.0,SPY
2022-04-18,436.81,439.75,435.61,437.97,417.878639760476,66002498,0.0000,1.0,SPY
2022-04-19,437.86,445.8,437.68,445.04,424.6243117999,77821013,0.0000,1.0,SPY
2022-04-20,446.92,447.57,443.48,444.71,424.309450162982,64140001,0.0000,1.0,SPY
2022-04-21,448.54,450.01,437.1,438.06,417.964511115999,85417327,0.0000,1.0,SPY
2022-04-22,436.91,438.0825,425.44,426.04,406.495914522805,132471772,0.0000,1.0,SPY
2022-04-25,423.67,428.69,418.84,428.51,408.852606168827,119647748,0.0000,1.0,SPY
2022-04-26,425.83,426.04,416.07,416.1,397.011900368367,100647304,0.0000,1.0,SPY
2022-04-27,417.24,422.92,415.01,417.27,398.128227990167,122029990,0.0000,1.0,SPY
2022-04-28,422.29,429.64,417.6,427.81,408.184717848092,105449088,0.0000,1.0,SPY
2022-04-29,423.59,425.87,411.21,412.0,393.099983061205,145491088,0.0000,1.0,SPY
2022-05-02,412.07,415.92,405.02,414.48,395.466215968952,158312526,0.0000,1.0,SPY
2022-05-03,415.01,418.93,413.36,416.38,397.279055696661,100028190,0.0000,1.0,SPY
2022-05-04,417.08,429.66,413.7099,429.06,409.377375563691,141106960,0.0000,1.0,SPY
2022-05-05,424.55,425.0,409.44,413.81,394.826951433391,172929106,0.0000,1.0,SPY
2022-05-06,411.1,414.8,405.73,411.34,392.470259787369,151770811,0.0000,1.0,SPY
2022-05-09,405.1,406.41,396.5,398.17,379.904418095825,155586067,0.0000,1.0,SPY
2022-05-10,404.49,406.08,394.82,399.09,380.782214174505,132497200,0.0000,1.0,SPY
2022-05-11,398.07,404.04,391.96,392.75,374.733054240991,142360992,0.0000,1.0,SPY
2022-05-12,389.37,395.8,385.15,392.34,374.341862510275,125090753,0.0000,1.0,SPY
2022-05-13,396.71,403.18,395.61,401.72,383.291566008124,104174421,0.0000,1.0,SPY
2022-05-16,399.98,403.97,397.6,400.09,381.736340346984,78622444,0.0000,1.0,SPY
2022-05-17,406.53,408.57,402.5824,408.32,389.588798746483,83029710,0.0000,1.0,SPY
2022-05-18,403.5,403.8,390.55,391.86,373.883881947485,117674545,0.0000,1.0,SPY
2022-05-19,388.62,394.14,387.11,389.46,371.593979133536,98510715,0.0000,1.0,SPY
2022-05-20,393.25,397.03,380.54,389.63,371.756180582857,131432197,0.0000,1.0,SPY
2022-05-23,392.83,397.73,390.38,396.92,378.711760380227,76414878,0.0000,1.0,SPY
2022-05-24,392.56,395.15,386.96,393.89,375.820758077617,91448831,0.0000,1.0,SPY
2022-05-25,392.31,399.45,391.89,397.37,379.141117157842,91472866,0.0000,1.0,SPY
2022-05-26,398.67,407.04,398.45,405.31,386.716878967323,82168339,0.0000,1.0,SPY
2022-05-27,407.91,415.3801,407.7,415.26,396.210434383485,84768710,0.0000,1.0,SPY
2022-05-31,413.55,416.46,410.03,412.93,393.98732040161,95936980,0.0000,1.0,SPY
2022-06-01,415.17,416.24,406.93,409.59,390.800538985531,86585813,0.0000,1.0,SPY
2022-06-02,409.42,417.44,407.04,417.39,398.242723130865,79609633,0.0000,1.0,SPY
2022-06-03,412.4,414.04,409.51,410.54,391.706958849386,71874281,0.0000,1.0,SPY
2022-06-06,414.78,416.609,410.5523,411.79,392.899616564984,57508858,0.0000,1.0,SPY
2022-06-07,408.1,416.22,407.61,415.74,396.668414946275,59272373,0.0000,1.0,SPY
2022-06-08,413.93,415.82,410.38,411.22,392.355764646672,64349966,0.0000,1.0,SPY
2022-06-09,409.34,411.74,401.44,401.44,383.02441067983,86289796,0.0000,1.0,SPY
2022-06-10,394.88,395.7777,389.75,389.8,371.918382032179,132893864,0.0000,1.0,SPY
2022-06-13,379.85,381.81,373.3,375.0,357.797314679495,170004861,0.0000,1.0,SPY
2022-06-14,376.85,377.94,370.59,373.87,356.719152104594,104011831,0.0000,1.0,SPY
2022-06-15,377.36,383.9,372.12,379.2,361.804644603905,125666797,0.0000,1.0,SPY
2022-06-16,370.51,370.94,364.0799,366.65,349.830361139298,134473288,0.0000,1.0,SPY
2022-06-17,365.51,369.38,362.17,365.86,350.581135354762,111113904,1.5769,1.0,SPY
